student_id,grade,age,interests,reading_level,preferred_genres,account_status,items_checkedout,notes,homeroom
S0001,7,12,friendship;coast,5-6,STEM;Realistic Fiction,Inactive,2,Reads during lunch,7D
S0002,4,9,friendship;sports,6-8,STEM;Fantasy,Active,0,Likes series books,4C
S0003,7,12,community;library,6-7,Historical Fiction;Science Fiction,Active,3,Needs quiet spaces,7B
S0004,8,13,history;community,6-7,Mystery;Fantasy,Active,0,Enjoys hands-on projects,8A
S0005,7,12,robots;community,4-5,Poetry;Fantasy,Active,2,Prefers group reads,7B
S0006,4,9,adventure;friendship,4-5,Adventure;Nonfiction,Active,0,Enjoys hands-on projects,4B
S0007,7,12,library;sports,4-5,Mystery;Historical Fiction,Active,3,Enjoys hands-on projects,7D
S0008,6,11,art;puzzles,6-7,Historical Fiction;Mystery,Active,2,Prefers shorter chapters,6D
S0009,7,12,math;adventure,6-7,Historical Fiction;Mystery,Inactive,0,Needs quiet spaces,7B
S0010,8,13,coding;science,6-8,Science Fiction;Mystery,Inactive,1,Asks for recommendations,8A
S0011,7,12,community;animals,4-5,Science Fiction;Realistic Fiction,Active,3,Prefers shorter chapters,7D
S0012,5,10,adventure;sports,4-5,STEM;Historical Fiction,Active,2,Enjoys graphic novels,5A
S0013,8,13,music;coast,6-8,STEM;Science Fiction,Active,0,Enjoys graphic novels,8D
S0014,4,9,puzzles;library,6-7,STEM;Adventure,Active,2,Likes series books,4C
S0015,4,9,sports;coding,6-7,Nonfiction;Mystery,Active,3,Interested in local history,4C
S0016,7,12,robots;math,6-7,Poetry;Science Fiction,Inactive,1,Reads during lunch,7A
S0017,5,10,adventure;puzzles,5-6,Poetry;STEM,Active,2,Needs quiet spaces,5D
S0018,4,9,animals;library,4-5,Fantasy;Adventure,Inactive,0,Interested in local history,4D
S0019,8,13,mystery;puzzles,5-6,Science Fiction;Adventure,Active,3,Prefers shorter chapters,8D
S0020,8,13,animals;robots,5-6,Adventure;Mystery,Active,2,Enjoys hands-on projects,8D
S0021,8,13,library;art,4-5,Science Fiction;Realistic Fiction,Inactive,1,Enjoys hands-on projects,8B
S0022,7,12,math;coding,6-8,Fantasy;Science Fiction,Active,2,Interested in local history,7A
S0023,8,13,library;music,4-5,Science Fiction;Historical Fiction,Active,3,Reads during lunch,8C
S0024,8,13,library;coast,5-6,Adventure;Mystery,Active,3,Reads during lunch,8A
S0025,7,12,science;adventure,4-5,Mystery;Science Fiction,Active,3,Needs quiet spaces,7B
S0026,5,10,mystery;math,6-7,Realistic Fiction;Poetry,Inactive,1,Reads during lunch,5A
S0027,8,13,library;puzzles,6-8,Science Fiction;Historical Fiction,Active,3,Prefers shorter chapters,8B
S0028,5,10,robots;community,4-5,Fantasy;Nonfiction,Inactive,1,Prefers group reads,5A
S0029,5,10,robots;coding,5-6,Poetry;Realistic Fiction,Active,1,Prefers shorter chapters,5A
S0030,6,11,friendship;robots,6-8,Historical Fiction;Fantasy,Inactive,0,Enjoys hands-on projects,6A
S0031,8,13,library;science,4-5,Poetry;Science Fiction,Active,1,Needs quiet spaces,8C
S0032,7,12,history;puzzles,6-7,Nonfiction;Science Fiction,Active,1,Enjoys hands-on projects,7B
S0033,7,12,history;music,5-6,Science Fiction;Poetry,Inactive,0,Enjoys graphic novels,7B
S0034,5,10,sports;science,6-8,Fantasy;Mystery,Inactive,1,Likes challenge problems,5C
S0035,5,10,math;science,4-5,Adventure;Historical Fiction,Active,0,Needs quiet spaces,5D
S0036,7,12,library;coding,6-7,Nonfiction;Historical Fiction,Active,1,Asks for recommendations,7B
S0037,4,9,art;music,6-8,Nonfiction;Poetry,Inactive,2,Prefers shorter chapters,4D
S0038,5,10,coast;library,6-8,Nonfiction;Mystery,Active,3,Prefers shorter chapters,5A
S0039,7,12,animals;history,6-8,Poetry;Science Fiction,Inactive,3,Interested in local history,7A
